city,Cloudiness,country,Date,Humidity,lat,lon,Max Temp,Wind Speed
mahebourg,75.0,mu,2018-03-02 06:00:00,79.0,-40.78,76.92,84.2,16.11
zabol,0.0,ir,2018-03-02 06:00:00,56.0,31.61,60.25,68,6.93
namibe,20.0,ao,2018-03-02 06:36:30,100.0,-13.12,6.70,73.19,4.76
atuona,64.0,pf,2018-03-02 06:36:30,97.0,-3.31,-139.14,82.01,18.07
punta arenas,75.0,cl,2018-03-02 06:00:00,71.0,-72.38,-99.39,53.6,17.22
saint anthony,90.0,ca,2018-03-02 05:56:00,69.0,55.47,-52.52,37.4,9.17
ushuaia,75.0,ar,2018-03-02 06:00:00,76.0,-70.00,-32.99,48.2,25.28
vestmanna,64.0,fo,2018-03-02 06:20:00,100.0,65.24,-8.94,32,4.7
airai,44.0,pw,2018-03-02 06:33:01,95.0,8.73,139.00,74.36,1.3
harper,1.0,lr,2018-03-02 06:15:00,87.0,-1.07,-6.91,44.6,3.36
dicabisagan,68.0,ph,2018-03-02 06:36:33,100.0,16.84,123.56,78.23,4.09
bambous virieux,75.0,mu,2018-03-02 06:00:00,79.0,-33.58,80.06,84.2,16.11
san quintin,40.0,mx,2018-03-02 06:00:00,70.0,26.44,-122.33,87.8,6.93
butaritari,56.0,ki,2018-03-02 06:32:15,100.0,27.13,171.97,82.73,7.67
troitsko-pechorsk,20.0,ru,2018-03-02 06:36:34,73.0,62.60,56.41,12.53,6.22
richards bay,76.0,za,2018-03-02 06:36:34,82.0,-31.71,35.53,73.24,3.87
padang,8.0,id,2018-03-02 06:36:35,100.0,-7.24,88.55,81.34,3.53
hermanus,56.0,za,2018-03-02 06:32:39,87.0,-70.11,9.39,62.03,8.46
kichera,0.0,ru,2018-03-02 06:36:36,59.0,56.67,110.71,-0.3,2.64
mount gambier,44.0,au,2018-03-02 06:36:36,42.0,-51.15,131.35,81.11,1.86
busselton,0.0,au,2018-03-02 06:36:37,93.0,-58.15,93.51,71.3,16.62
cervia,90.0,it,2018-03-02 05:55:00,86.0,44.50,12.66,32,4.7
eenhana,40.0,na,2018-03-02 06:00:00,38.0,-17.49,16.13,75.2,3.36
rikitea,92.0,pf,2018-03-02 06:36:38,100.0,-37.22,-127.07,80.89,18.86
nantucket,90.0,us,2018-03-02 06:17:00,100.0,39.57,-69.41,42.8,18.34
norman wells,5.0,ca,2018-03-02 06:00:00,69.0,63.53,-125.52,-13.01,6.93
moron,88.0,mn,2018-03-02 06:36:39,95.0,48.67,101.67,65.45,3.98
atuona,64.0,pf,2018-03-02 06:36:30,97.0,-5.86,-147.83,82.01,18.07
pasni,0.0,pk,2018-03-02 06:36:39,81.0,20.68,63.72,76.84,3.2
jacareacanga,0.0,br,2018-03-02 06:36:40,93.0,-8.04,-57.23,76.25,2.98
richards bay,76.0,za,2018-03-02 06:36:34,82.0,-30.69,37.28,73.24,3.87
sao filipe,0.0,cv,2018-03-02 06:36:40,100.0,8.89,-34.23,68.56,9.24
rikitea,92.0,pf,2018-03-02 06:36:38,100.0,-16.04,-116.47,80.89,18.86
punta arenas,75.0,cl,2018-03-02 06:00:00,71.0,-64.31,-91.35,53.6,17.22
bredasdorp,68.0,za,2018-03-02 06:00:00,64.0,-79.15,25.17,71.6,16.11
ushuaia,75.0,ar,2018-03-02 06:00:00,76.0,-79.36,-21.96,48.2,25.28
port-gentil,40.0,ga,2018-03-02 06:00:00,94.0,-1.86,5.54,78.8,2.75
bethel,90.0,us,2018-03-02 05:53:00,92.0,62.48,-159.09,28.4,23.04
vega de alatorre,0.0,mx,2018-03-02 06:36:43,87.0,21.41,-94.91,71.89,9.13
punta arenas,75.0,cl,2018-03-02 06:00:00,71.0,-62.13,-77.02,53.6,17.22
omsukchan,0.0,ru,2018-03-02 06:36:43,82.0,62.83,155.94,-6.96,2.3
carnarvon,80.0,au,2018-03-02 06:36:44,87.0,-28.36,102.52,54.97,3.76
guerrero negro,0.0,mx,2018-03-02 06:36:44,100.0,19.13,-124.85,52.09,11.36
hithadhoo,36.0,mv,2018-03-02 06:36:44,100.0,-7.11,75.14,82.24,7.56
tres arroyos,0.0,ar,2018-03-02 06:36:45,95.0,-37.94,-60.76,64.55,5.77
luderitz,0.0,na,2018-03-02 06:00:00,77.0,-35.34,0.64,62.6,19.46
flinders,75.0,au,2018-03-02 05:00:00,60.0,-30.58,135.49,73.4,9.17
hovd,0.0,mn,2018-03-02 06:20:00,65.0,45.55,97.59,21.2,3.36
ribeira grande,80.0,pt,2018-03-02 06:37:46,100.0,30.15,-45.39,55.06,26.13
vega de alatorre,0.0,mx,2018-03-02 06:36:43,87.0,20.49,-95.85,71.89,9.13
klaksvik,80.0,fo,2018-03-02 06:20:00,100.0,72.06,-2.54,32,4.7
imeni poliny osipenko,64.0,ru,2018-03-02 06:37:47,70.0,54.00,136.91,8.93,10.36
san cristobal,75.0,ec,2018-03-02 06:00:00,93.0,2.28,-86.72,53.6,4.7
busselton,0.0,au,2018-03-02 06:36:37,93.0,-43.20,111.33,71.3,16.62
khatanga,20.0,ru,2018-03-02 06:32:54,77.0,68.69,101.64,-12.09,8.9
sorland,20.0,no,2018-03-02 06:20:00,68.0,71.33,10.66,30.2,11.41
isla mujeres,8.0,mx,2018-03-02 06:37:49,92.0,21.20,-85.77,74.45,7.23
mananjary,12.0,mg,2018-03-02 06:37:49,94.0,-22.30,50.77,69.01,5.21
san ramon,8.0,bo,2018-03-02 06:37:50,89.0,-13.47,-64.45,63.97,2.3
xining,0.0,cn,2018-03-02 06:37:50,12.0,33.30,99.10,52.49,13.82
bambous virieux,75.0,mu,2018-03-02 06:00:00,79.0,-23.72,67.83,84.2,16.11
stovring,48.0,dk,2018-03-02 06:37:51,79.0,56.82,9.79,23.92,16.51
rikitea,92.0,pf,2018-03-02 06:36:38,100.0,-20.29,-122.35,80.89,18.86
ust-uda,64.0,ru,2018-03-02 06:37:51,69.0,54.56,103.25,5.74,4.43
