ID,Ethnicity_Catagory,Ethnicity_Quest,Gender,Age,Age_Range,Wash_Freq of BB (# times per week),Wash_Range,Innie_or_outie,Country til age 12,ZIP code til age 12,Country ages 13-19,Zipcode ages 13-19,Current ZIPcode,Current City,Current State,Reads
1153,non-Hispanic White,Caucasian,Female,18,8 to 18,Unknown,Unknown,Innie ,Unknown,Unknown,Unknown,Unknown,Unknown,Raleigh,NC,1000
1161,non-Hispanic White,Caucasian,Male,28,19 to 35,Unknown,Unknown,Innie,Unknown,Unknown,Unknown,Unknown,Unknown,Raleigh,NC,1000
1169,Indian,Indian,Male,7,0 to 7,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,FairFax,VA,1000
979,Unknown,Unknown,Female,35,19 to 35,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Durham,NC,1000
1113,non-Hispanic Black,African American,Female,8,8 to 18,Unknown,Unknown,Innie,Unknown,Unknown,Unknown,Unknown,Unknown,Conway,NC,1000
1121,Unknown,Unknown,Female,12,8 to 18,Unknown,Unknown,Innie,Unknown,Unknown,Unknown,Unknown,Unknown,Louisburg,NC,1000
1145,non-Hispanic White,Caucasian,Male,35,19 to 35,Unknown,Unknown,Innie,Unknown,Unknown,Unknown,Unknown,Unknown,Chapel Hill,NC,1000
1154,non-Hispanic White,Caucasian,Female,23,19 to 35,Unknown,Unknown,Innie,Unknown,Unknown,Unknown,Unknown,Unknown,Chapel Hill,NC,1000
1162,Unknown,Unknown,Female,36,36 to 74,Unknown,Unknown,Innie,Unknown,Unknown,Unknown,Unknown,Unknown,Plantation,FL,1000
1170,Indian,Indian,Male,44,36 to 74,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,FairFax,VA,1000
980,non-Hispanic White,Caucasian,Female,52,36 to 74,Unknown,Unknown,Innie,Unknown,Unknown,Unknown,Unknown,Unknown,Raleigh,NC,1000
988,non-Hispanic White,Caucasian,Female,59,36 to 74,Unknown,Unknown,Innie,Unknown,Unknown,Unknown,Unknown,Unknown,Raleigh,NC,1000
1106,non-Hispanic White,Caucasian,Male,74,36 to 74,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Stanford,CT,1000
1114,non-Hispanic Black,African American/Caucasian,Female,3,0 to 7,Unknown,Unknown,Innie,Unknown,Unknown,Unknown,Unknown,Unknown,Greensboro,NC,1000
1122,Hispanic,Multi,Female,15,8 to 18,Unknown,Unknown,Innie,Unknown,Unknown,Unknown,Unknown,Unknown,Louisburg,NC,1000
